,AREA_TITLE,OCC_TITLE,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_MEDIAN,A_MEDIAN,Metro_Name
5185,"Anniston-Oxford-Jacksonville, AL",All Occupations,43670,0,1000,1,21.14,43960,0.6,17.39,36170,Anniston
5186,"Anniston-Oxford-Jacksonville, AL",Management Occupations,1770,1.2,40.624,0.61,46.79,97330,1,39.78,82750,Anniston
5187,"Anniston-Oxford-Jacksonville, AL",General and Operations Managers,660,4.8,15.227,0.67,51.55,107230,2.2,42.19,87750,Anniston
5188,"Anniston-Oxford-Jacksonville, AL",Sales Managers,60,6.2,1.305,0.36,57.66,119930,5.8,47.98,99790,Anniston
5189,"Anniston-Oxford-Jacksonville, AL",Computer and Information Systems Managers,50,13.7,1.113,0.31,57.74,120100,4.2,61.37,127640,Anniston
5190,"Anniston-Oxford-Jacksonville, AL",Financial Managers,60,9.4,1.289,0.26,55.77,115990,1.8,49.73,103450,Anniston
5191,"Anniston-Oxford-Jacksonville, AL",Industrial Production Managers,60,9.6,1.317,0.92,57.79,120200,1.3,57.1,118760,Anniston
5192,"Anniston-Oxford-Jacksonville, AL",Human Resources Managers,30,17.9,0.71,0.58,57.95,120530,4.8,45.69,95040,Anniston
5193,"Anniston-Oxford-Jacksonville, AL",Construction Managers,60,5.7,1.468,0.72,45.66,94980,4.3,40.51,84260,Anniston
5194,"Anniston-Oxford-Jacksonville, AL","Education Administrators, Kindergarten through Secondary",80,8,1.775,0.92,*,85910,1.4,*,84000,Anniston
5195,"Anniston-Oxford-Jacksonville, AL","Education Administrators, All Other",50,8.4,1.081,3.18,44.74,93050,3.3,45.6,94850,Anniston
5196,"Anniston-Oxford-Jacksonville, AL",Architectural and Engineering Managers,40,6.9,0.891,0.67,69.98,145550,2.2,65.47,136190,Anniston
5197,"Anniston-Oxford-Jacksonville, AL",Food Service Managers,120,12.4,2.752,1.76,27.68,57580,3.7,25.38,52790,Anniston
5198,"Anniston-Oxford-Jacksonville, AL",Medical and Health Services Managers,150,6.2,3.442,1.07,40.48,84200,2.2,38.83,80770,Anniston
5199,"Anniston-Oxford-Jacksonville, AL","Property, Real Estate, and Community Association Managers",50,9.9,1.207,0.68,25.1,52210,4.9,22.17,46120,Anniston
5200,"Anniston-Oxford-Jacksonville, AL",Social and Community Service Managers,40,13.1,0.856,0.78,27.46,57110,7.5,24.65,51260,Anniston
