,Year,Month,Value,city
0,2021,Apr,290.068,../data/cpi_data/Seattle
1,2021,Aug,299.704,../data/cpi_data/Seattle
2,2021,Dec,304.856,../data/cpi_data/Seattle
3,2021,Feb,286.95,../data/cpi_data/Seattle
4,2021,Jan,,../data/cpi_data/Seattle
5,2021,Jul,,../data/cpi_data/Seattle
6,2021,Jun,296.573,../data/cpi_data/Seattle
7,2021,Mar,,../data/cpi_data/Seattle
8,2021,May,,../data/cpi_data/Seattle
9,2021,Nov,,../data/cpi_data/Seattle
10,2021,Oct,303.099,../data/cpi_data/Seattle
11,2021,Sep,,../data/cpi_data/Seattle
12,2022,Apr,316.525,../data/cpi_data/Seattle
13,2022,Aug,326.796,../data/cpi_data/Seattle
14,2022,Dec,330.489,../data/cpi_data/Seattle
15,2022,Feb,310.078,../data/cpi_data/Seattle
16,2022,Jan,,../data/cpi_data/Seattle
17,2022,Jul,,../data/cpi_data/Seattle
18,2022,Jun,326.656,../data/cpi_data/Seattle
19,2022,Mar,,../data/cpi_data/Seattle
20,2022,May,,../data/cpi_data/Seattle
21,2022,Nov,,../data/cpi_data/Seattle
22,2022,Oct,330.173,../data/cpi_data/Seattle
23,2022,Sep,,../data/cpi_data/Seattle
24,2023,Apr,338.487,../data/cpi_data/Seattle
25,2023,Aug,344.449,../data/cpi_data/Seattle
26,2023,Dec,,../data/cpi_data/Seattle
27,2023,Feb,334.987,../data/cpi_data/Seattle
28,2023,Jan,,../data/cpi_data/Seattle
29,2023,Jul,,../data/cpi_data/Seattle
30,2023,Jun,341.734,../data/cpi_data/Seattle
31,2023,Mar,,../data/cpi_data/Seattle
32,2023,May,,../data/cpi_data/Seattle
33,2023,Nov,,../data/cpi_data/Seattle
34,2023,Oct,,../data/cpi_data/Seattle
35,2023,Sep,,../data/cpi_data/Seattle
0,2021,Apr,266.534,../data/cpi_data/Baltimore
1,2021,Aug,271.067,../data/cpi_data/Baltimore
2,2021,Dec,282.455,../data/cpi_data/Baltimore
3,2021,Feb,261.917,../data/cpi_data/Baltimore
4,2021,Jan,,../data/cpi_data/Baltimore
5,2021,Jul,,../data/cpi_data/Baltimore
6,2021,Jun,269.598,../data/cpi_data/Baltimore
7,2021,Mar,,../data/cpi_data/Baltimore
8,2021,May,,../data/cpi_data/Baltimore
9,2021,Nov,,../data/cpi_data/Baltimore
10,2021,Oct,277.415,../data/cpi_data/Baltimore
11,2021,Sep,,../data/cpi_data/Baltimore
12,2022,Apr,290.688,../data/cpi_data/Baltimore
13,2022,Aug,298.641,../data/cpi_data/Baltimore
14,2022,Dec,300.182,../data/cpi_data/Baltimore
15,2022,Feb,286.243,../data/cpi_data/Baltimore
16,2022,Jan,,../data/cpi_data/Baltimore
17,2022,Jul,,../data/cpi_data/Baltimore
18,2022,Jun,298.273,../data/cpi_data/Baltimore
19,2022,Mar,,../data/cpi_data/Baltimore
20,2022,May,,../data/cpi_data/Baltimore
21,2022,Nov,,../data/cpi_data/Baltimore
22,2022,Oct,300.628,../data/cpi_data/Baltimore
23,2022,Sep,,../data/cpi_data/Baltimore
24,2023,Apr,306.015,../data/cpi_data/Baltimore
25,2023,Aug,307.978,../data/cpi_data/Baltimore
26,2023,Dec,,../data/cpi_data/Baltimore
27,2023,Feb,303.749,../data/cpi_data/Baltimore
28,2023,Jan,,../data/cpi_data/Baltimore
29,2023,Jul,,../data/cpi_data/Baltimore
30,2023,Jun,306.506,../data/cpi_data/Baltimore
31,2023,Mar,,../data/cpi_data/Baltimore
32,2023,May,,../data/cpi_data/Baltimore
33,2023,Nov,,../data/cpi_data/Baltimore
34,2023,Oct,,../data/cpi_data/Baltimore
35,2023,Sep,,../data/cpi_data/Baltimore
0,2021,Apr,,../data/cpi_data/Tampa CPI.xlsx
1,2021,Aug,,../data/cpi_data/Tampa CPI.xlsx
2,2021,Dec,,../data/cpi_data/Tampa CPI.xlsx
3,2021,Feb,,../data/cpi_data/Tampa CPI.xlsx
4,2021,Jan,239.135,../data/cpi_data/Tampa CPI.xlsx
5,2021,Jul,248.811,../data/cpi_data/Tampa CPI.xlsx
6,2021,Jun,,../data/cpi_data/Tampa CPI.xlsx
7,2021,Mar,242.91,../data/cpi_data/Tampa CPI.xlsx
8,2021,May,245.419,../data/cpi_data/Tampa CPI.xlsx
9,2021,Nov,255.851,../data/cpi_data/Tampa CPI.xlsx
10,2021,Oct,,../data/cpi_data/Tampa CPI.xlsx
