,Metropolitan Statistical Areas
0,"Anniston-Oxford-Jacksonville, AL"
1,"Atlanta-Sandy Springs-Roswell, GA"
2,"Austin-Round Rock, TX"
3,"Baltimore-Columbia-Towson, MD"
4,"Charlotte-Concord-Gastonia, NC-SC"
5,"Dallas-Fort Worth-Arlington, TX"
6,"Denver-Aurora-Lakewood, CO"
7,"Houston-The Woodlands-Sugar Land, TX"
8,"Miami-Fort Lauderdale-West Palm Beach, FL"
9,"Minneapolis-St. Paul-Bloomington, MN-WI"
10,"Nashville-Davidson--Murfreesboro--Franklin, TN"
11,"Orlando-Kissimmee-Sanford, FL"
12,"Phoenix-Mesa-Scottsdale, AZ"
13,"Portland-Vancouver-Hillsboro, OR-WA"
14,"Raleigh, NC"
15,"St. Louis, MO-IL"
16,"San Antonio-New Braunfels, TX"
17,"San Diego-Carlsbad, CA"
18,"Seattle-Tacoma-Bellevue, WA"
19,"Tampa-St. Petersburg-Clearwater, FL"
