,Year,Month,Value,city
0,2021,Apr,290.068,Seattle
1,2021,Aug,299.704,Seattle
2,2021,Dec,304.856,Seattle
3,2021,Feb,286.95,Seattle
4,2021,Jan,,Seattle
5,2021,Jul,,Seattle
6,2021,Jun,296.573,Seattle
7,2021,Mar,,Seattle
8,2021,May,,Seattle
9,2021,Nov,,Seattle
10,2021,Oct,303.099,Seattle
11,2021,Sep,,Seattle
12,2022,Apr,316.525,Seattle
13,2022,Aug,326.796,Seattle
14,2022,Dec,330.489,Seattle
15,2022,Feb,310.078,Seattle
16,2022,Jan,,Seattle
17,2022,Jul,,Seattle
18,2022,Jun,326.656,Seattle
19,2022,Mar,,Seattle
20,2022,May,,Seattle
21,2022,Nov,,Seattle
22,2022,Oct,330.173,Seattle
23,2022,Sep,,Seattle
24,2023,Apr,338.487,Seattle
25,2023,Aug,344.449,Seattle
26,2023,Dec,,Seattle
27,2023,Feb,334.987,Seattle
28,2023,Jan,,Seattle
29,2023,Jul,,Seattle
30,2023,Jun,341.734,Seattle
31,2023,Mar,,Seattle
32,2023,May,,Seattle
33,2023,Nov,,Seattle
34,2023,Oct,,Seattle
35,2023,Sep,,Seattle
0,2021,Apr,266.534,Baltimore
1,2021,Aug,271.067,Baltimore
2,2021,Dec,282.455,Baltimore
3,2021,Feb,261.917,Baltimore
4,2021,Jan,,Baltimore
5,2021,Jul,,Baltimore
6,2021,Jun,269.598,Baltimore
7,2021,Mar,,Baltimore
8,2021,May,,Baltimore
9,2021,Nov,,Baltimore
10,2021,Oct,277.415,Baltimore
11,2021,Sep,,Baltimore
12,2022,Apr,290.688,Baltimore
13,2022,Aug,298.641,Baltimore
14,2022,Dec,300.182,Baltimore
15,2022,Feb,286.243,Baltimore
16,2022,Jan,,Baltimore
17,2022,Jul,,Baltimore
18,2022,Jun,298.273,Baltimore
19,2022,Mar,,Baltimore
20,2022,May,,Baltimore
21,2022,Nov,,Baltimore
22,2022,Oct,300.628,Baltimore
23,2022,Sep,,Baltimore
24,2023,Apr,306.015,Baltimore
25,2023,Aug,307.978,Baltimore
26,2023,Dec,,Baltimore
27,2023,Feb,303.749,Baltimore
28,2023,Jan,,Baltimore
29,2023,Jul,,Baltimore
30,2023,Jun,306.506,Baltimore
31,2023,Mar,,Baltimore
32,2023,May,,Baltimore
33,2023,Nov,,Baltimore
34,2023,Oct,,Baltimore
35,2023,Sep,,Baltimore
0,2021,Apr,,Tampa CPI.xlsx
1,2021,Aug,,Tampa CPI.xlsx
2,2021,Dec,,Tampa CPI.xlsx
3,2021,Feb,,Tampa CPI.xlsx
4,2021,Jan,239.135,Tampa CPI.xlsx
5,2021,Jul,248.811,Tampa CPI.xlsx
6,2021,Jun,,Tampa CPI.xlsx
7,2021,Mar,242.91,Tampa CPI.xlsx
8,2021,May,245.419,Tampa CPI.xlsx
9,2021,Nov,255.851,Tampa CPI.xlsx
10,2021,Oct,,Tampa CPI.xlsx
11,2021,Sep,251.221,Tampa CPI.xlsx
12,2022,Apr,,Tampa CPI.xlsx
13,2022,Aug,,Tampa CPI.xlsx
14,2022,Dec,,Tampa CPI.xlsx
15,2022,Feb,,Tampa CPI.xlsx
16,2022,Jan,262.052,Tampa CPI.xlsx
17,2022,Jul,276.75,Tampa CPI.xlsx
18,2022,Jun,,Tampa CPI.xlsx
19,2022,Mar,267.59,Tampa CPI.xlsx
20,2022,May,273.245,Tampa CPI.xlsx
21,2022,Nov,280.395,Tampa CPI.xlsx
22,2022,Oct,,Tampa CPI.xlsx
23,2022,Sep,277.49,Tampa CPI.xlsx
24,2023,Apr,,Tampa CPI.xlsx
25,2023,Aug,,Tampa CPI.xlsx
26,2023,Dec,,Tampa CPI.xlsx
27,2023,Feb,,Tampa CPI.xlsx
28,2023,Jan,285.267,Tampa CPI.xlsx
29,2023,Jul,292.974,Tampa CPI.xlsx
30,2023,Jun,,Tampa CPI.xlsx
31,2023,Mar,288.319,Tampa CPI.xlsx
32,2023,May,293.269,Tampa CPI.xlsx
33,2023,Nov,,Tampa CPI.xlsx
34,2023,Oct,,Tampa CPI.xlsx
35,2023,Sep,,Tampa CPI.xlsx
0,2021,Apr,,Minneapolis
1,2021,Aug,,Minneapolis
2,2021,Dec,,Minneapolis
3,2021,Feb,,Minneapolis
4,2021,Jan,256.379,Minneapolis
5,2021,Jul,267.241,Minneapolis
6,2021,Jun,,Minneapolis
7,2021,Mar,259.187,Minneapolis
8,2021,May,262.898,Minneapolis
9,2021,Nov,272.859,Minneapolis
10,2021,Oct,,Minneapolis
11,2021,Sep,270.24,Minneapolis
12,2022,Apr,,Minneapolis
13,2022,Aug,,Minneapolis
14,2022,Dec,,Minneapolis
15,2022,Feb,,Minneapolis
16,2022,Jan,274.725,Minneapolis
17,2022,Jul,289.265,Minneapolis
18,2022,Jun,,Minneapolis
19,2022,Mar,280.388,Minneapolis
20,2022,May,285.784,Minneapolis
21,2022,Nov,287.396,Minneapolis
22,2022,Oct,,Minneapolis
23,2022,Sep,290.325,Minneapolis
24,2023,Apr,,Minneapolis
25,2023,Aug,,Minneapolis
26,2023,Dec,,Minneapolis
27,2023,Feb,,Minneapolis
28,2023,Jan,288.761,Minneapolis
29,2023,Jul,292.223,Minneapolis
30,2023,Jun,,Minneapolis
31,2023,Mar,289.968,Minneapolis
32,2023,May,291.001,Minneapolis
33,2023,Nov,,Minneapolis
34,2023,Oct,,Minneapolis
35,2023,Sep,,Minneapolis
